URL,Size(kB),No of Outlinks,Content Type
https://www.nytimes.com/topic/destination/rwandan-genocide,549,56,text/html
https://www.nytimes.com/2021/06/05/world/africa/hotel-rwanda-denied-food-medicine.html,356,55,text/html
https://www.nytimes.com/2020/09/18/world/africa/rwanda-paul-rusesabagina.html,824,70,text/html
https://www.nytimes.com/2020/09/06/world/africa/paul-rusesabagina-hotel-rwanda-arrest.html,376,54,text/html
https://www.nytimes.com/section/world/africa,436,57,text/html
https://www.nytimes.com/2021/02/27/world/africa/paul-rusesabagina-hotel-rwanda-case.html,376,57,text/html
https://www.nytimes.com/interactive/2021/us/nevada-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/world/japan-covid-cases.html,630,205,text/html
https://www.nytimes.com/interactive/2021/us/washington-district-of-columbia-covid-cases.html,1024,177,text/html
https://www.nytimes.com/interactive/2021/us/ohio-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2020/10/02/science/charting-a-coronavirus-infection.html,282,155,text/html
https://www.nytimes.com/interactive/2021/us/montana-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/us/abbeville-south-carolina-covid-cases.html,1024,177,text/html
https://www.nytimes.com/interactive/2021/us/alaska-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/us/arizona-covid-cases.html,1024,199,text/html
https://www.nytimes.com/by/jeremy-white,648,55,text/html
https://www.nytimes.com/by/ian-austen,311,55,text/html
https://www.nytimes.com/by/mike-baker,334,55,text/html
https://www.nytimes.com/interactive/2021/us/nebraska-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/us/oklahoma-covid-cases.html,1024,199,text/html
https://www.nytimes.com/by/rich-harris,464,54,text/html
https://www.nytimes.com/interactive/2021/us/north-carolina-covid-cases.html,1024,199,text/html
https://www.nytimes.com/by/josh-williams,1024,50,text/html
https://www.nytimes.com/interactive/2021/us/south-dakota-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/us/missouri-covid-cases.html,1024,199,text/html
https://www.nytimes.com/by/allison-mccann,332,54,text/html
https://www.nytimes.com/interactive/2021/us/cherokee-south-carolina-covid-cases.html,1024,180,text/html
https://www.nytimes.com/interactive/2021/us/oregon-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/us/wyoming-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/us/new-jersey-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/us/minnesota-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/us/michigan-covid-cases.html,1024,199,text/html
https://www.nytimes.com/by/derek-watkins,846,54,text/html
https://www.nytimes.com/by/john-keefe,542,52,text/html
https://www.nytimes.com/interactive/2020/world/coronavirus-tips-advice.html,590,839,text/html
https://www.nytimes.com/interactive/2021/us/covid-risk-map.html,301,166,text/html
https://www.nytimes.com/by/ellen-barry,344,55,text/html
https://www.nytimes.com/interactive/2021/world/india-covid-cases.html,726,207,text/html
https://www.nytimes.com/interactive/2021/us/college-covid-tracker.html,769,153,text/html
https://www.nytimes.com/interactive/2021/us/dorchester-south-carolina-covid-cases.html,1024,180,text/html
https://www.nytimes.com/by/adeel-hassan,378,56,text/html
https://www.nytimes.com/interactive/2021/health/coronavirus-variant-tracker.html,672,208,text/html
https://www.nytimes.com/interactive/2021/us/anderson-south-carolina-covid-cases.html,1024,177,text/html
https://www.nytimes.com/interactive/2021/us/kentucky-covid-cases.html,1024,199,text/html
https://www.nytimes.com/2021/09/20/world/africa/hotel-rwanda-guilty.html,421,54,text/html
https://www.nytimes.com/interactive/2021/us/south-carolina-covid-cases.html,1024,199,text/html
https://www.nytimes.com/2021/09/20/us/delrio-texas-migrants-crisis.html,407,43,text/html
https://www.nytimes.com/puzzles/letter-boxed,57,43,text/html
https://www.nytimes.com/international/?action=click&region=Footer&pgtype=Homepage,1024,208,text/html
https://www.nytimes.com/section/technology,651,86,text/html
https://www.nytimes.com/section/science,747,108,text/html
https://www.nytimes.com/2021/09/20/upshot/car-rental-prices-economy.html,370,49,text/html
https://www.nytimes.com/2020/04/16/parenting/mommy-influencers.html,301,56,text/html
https://www.nytimes.com/ca/?action=click&region=Editions&pgtype=Homepage,1024,208,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-default-homescreen-57x57-43808a4cd5333b648057a01624d84960.png,1,0,image/png
https://www.nytimes.com/wirecutter/about/,100,210,text/html
https://www.nytimes.com/2021/09/19/business/trump-election-prophecy-charisma-media.html,432,55,text/html
https://www.nytimes.com/wirecutter/appliances/vacuums/,131,213,text/html
https://www.nytimes.com/wirecutter/kitchen-dining/baking/,147,228,text/html
https://www.nytimes.com/wirecutter/kitchen-dining/storage/,127,209,text/html
https://www.nytimes.com/wirecutter/electronics/cameras/,173,242,text/html
https://www.nytimes.com/wirecutter/home-garden/entertaining-home/,181,237,text/html
https://www.nytimes.com/wirecutter/hobby-crafts/,174,225,text/html
https://www.nytimes.com/wirecutter/reviews/best-robot-vacuum/,670,345,text/html
https://www.nytimes.com/wirecutter/health-fitness/,251,258,text/html
https://www.nytimes.com/wirecutter/home-garden/furniture/,131,209,text/html
https://www.nytimes.com/wirecutter/outdoors/swim/,126,204,text/html
https://www.nytimes.com/wirecutter/gifts/valentines-day/,126,196,text/html
https://www.nytimes.com/wirecutter/reviews/best-kids-face-masks/,473,318,text/html
https://www.nytimes.com/wirecutter/authors/doug-mahoney/,171,185,text/html
https://www.nytimes.com/wirecutter/home-garden/tools/,211,271,text/html
https://www.nytimes.com/wirecutter/home-garden/bathroom/,230,273,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-bug-killing-gear/,232,244,text/html
https://www.nytimes.com/wirecutter/cars/accessories-auto/,162,240,text/html
https://www.nytimes.com/wirecutter/electronics/laptops/,159,217,text/html
https://www.nytimes.com/wirecutter/home-garden/weather/,206,263,text/html
https://www.nytimes.com/wirecutter/home-garden/garage/,187,260,text/html
https://www.nytimes.com/wirecutter/home-garden/cleaning/,251,255,text/html
https://www.nytimes.com/wirecutter/electronics/smartphones/,240,264,text/html
https://www.nytimes.com/wirecutter/money/shopping/,258,246,text/html
https://www.nytimes.com/wirecutter/lists/,101,193,text/html
https://www.nytimes.com/wirecutter/staff-demographics/,87,178,text/html
https://www.nytimes.com/wirecutter/electronics/batteries/,188,238,text/html
https://www.nytimes.com/wirecutter/home-garden/safety-home-garden/,232,259,text/html
https://www.nytimes.com/wirecutter/partners/,81,174,text/html
https://www.nytimes.com/wirecutter/pets/dogs/,199,260,text/html
https://www.nytimes.com/wirecutter/home-garden/closet-laundry/,215,263,text/html
https://www.nytimes.com/wirecutter/travel/luggage/,107,198,text/html
https://www.nytimes.com/wirecutter/home-garden/storage-home-garden/,142,217,text/html
https://www.nytimes.com/wirecutter/health-fitness/cycling/,162,233,text/html
https://www.nytimes.com/wirecutter/outdoors/camping/,177,240,text/html
https://www.nytimes.com/wirecutter/reviews/best-mattress/,455,288,text/html
https://www.nytimes.com/wirecutter/outdoors/,243,270,text/html
https://www.nytimes.com/by/jin-wu,1003,54,text/html
https://www.nytimes.com/interactive/2020/science/coronavirus-drugs-treatments.html,388,324,text/html
https://www.nytimes.com/interactive/2021/us/california-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2021/us/wisconsin-covid-cases.html,1024,198,text/html
https://www.nytimes.com/interactive/2021/us/mississippi-covid-cases.html,1024,200,text/html
https://www.nytimes.com/interactive/2021/health/how-covid-19-vaccines-work.html,342,161,text/html
https://www.nytimes.com/interactive/2021/us/idaho-covid-cases.html,1024,199,text/html
https://www.nytimes.com/interactive/2020/us/about-coronavirus-data-maps.html,225,182,text/html
https://www.nytimes.com/by/sameer-yasir,399,54,text/html
https://www.nytimes.com/2021/03/19/us/border-migrants-texas.html,479,48,text/html
https://www.nytimes.com/by/edgar-sandoval,563,54,text/html
